Row,Date,Home_Team,Away_Team,Attendance,Match_Report_Link
99,2024-04-27,El Paso,FC Tulsa,"6,142",https://fbref.com/en/matches/6d529a83/El-Paso-Locomotive-FC-Tulsa-April-27-2024-USL-Championship
100,,,,,
101,2024-05-04,Memphis,TB Rowdies,"2,384",https://fbref.com/en/matches/c2ecb590/Memphis-901-Tampa-Bay-Rowdies-May-4-2024-USL-Championship
102,2024-05-04,Charleston,Hartford,"3,785",https://fbref.com/en/matches/3d6fa6fc/Charleston-Battery-Hartford-Athletic-May-4-2024-USL-Championship
103,2024-05-04,B'ham Legion,FC Tulsa,"2,541",https://fbref.com/en/matches/5e1962f3/Birmingham-Legion-FC-Tulsa-May-4-2024-USL-Championship
104,Date,Home,Away,Attendance,
105,2024-05-04,North Carolina,Rhode Island FC,"3,187",https://fbref.com/en/matches/15f9e306/North-Carolina-FC-Rhode-Island-FC-May-4-2024-USL-Championship
106,2024-05-04,Pittsburgh,Miami FC,"4,172",https://fbref.com/en/matches/49a41f33/Pittsburgh-Riverhounds-Miami-FC-May-4-2024-USL-Championship
107,2024-05-04,Loudoun Utd,Detroit City,"3,017",https://fbref.com/en/matches/d374804a/Loudoun-United-Detroit-City-May-4-2024-USL-Championship
108,2024-05-04,CS Switchbacks,El Paso,"8,023",https://fbref.com/en/matches/3a0e6b29/Colorado-Springs-Switchbacks-El-Paso-Locomotive-May-4-2024-USL-Championship
109,2024-05-04,Monterey Bay,Indy Eleven,"4,504",https://fbref.com/en/matches/c4f363f0/Monterey-Bay-Indy-Eleven-May-4-2024-USL-Championship
110,2024-05-04,San Antonio,Roots,"7,437",https://fbref.com/en/matches/9602daec/San-Antonio-FC-Oakland-Roots-May-4-2024-USL-Championship
111,2024-05-04,LV Lights FC,New Mexico Utd,"1,061",https://fbref.com/en/matches/b450ad97/Las-Vegas-Lights-FC-New-Mexico-United-May-4-2024-USL-Championship
112,2024-05-04,Phx Rising,Sac Republic,"5,595",https://fbref.com/en/matches/c92a8ab9/Phoenix-Rising-Sacramento-Republic-May-4-2024-USL-Championship
113,,,,,
114,2024-05-10,Loudoun Utd,El Paso,"1,836",https://fbref.com/en/matches/6a72a4fe/Loudoun-United-El-Paso-Locomotive-May-10-2024-USL-Championship
115,2024-05-11,Detroit City,Phx Rising,"6,538",https://fbref.com/en/matches/dd869b8e/Detroit-City-Phoenix-Rising-May-11-2024-USL-Championship
116,2024-05-11,Hartford,CS Switchbacks,"5,500",https://fbref.com/en/matches/06467fba/Hartford-Athletic-Colorado-Springs-Switchbacks-May-11-2024-USL-Championship
117,2024-05-11,Rhode Island FC,Sac Republic,"3,974",https://fbref.com/en/matches/1cc048a0/Rhode-Island-FC-Sacramento-Republic-May-11-2024-USL-Championship
118,2024-05-11,TB Rowdies,B'ham Legion,"5,433",https://fbref.com/en/matches/c2df53c7/Tampa-Bay-Rowdies-Birmingham-Legion-May-11-2024-USL-Championship
119,2024-05-11,Louisville City,Orange County,"10,239",https://fbref.com/en/matches/e6921c2c/Louisville-City-Orange-County-SC-May-11-2024-USL-Championship
120,2024-05-12,Miami FC,Indy Eleven,"1,004",https://fbref.com/en/matches/1c84d297/Miami-FC-Indy-Eleven-May-12-2024-USL-Championship
121,2024-05-11,New Mexico Utd,Roots,"11,568",https://fbref.com/en/matches/8fca8868/New-Mexico-United-Oakland-Roots-May-11-2024-USL-Championship
122,2024-05-11,Monterey Bay,Memphis,"3,580",https://fbref.com/en/matches/94d341b2/Monterey-Bay-Memphis-901-May-11-2024-USL-Championship
123,2024-05-11,FC Tulsa,Pittsburgh,"4,486",https://fbref.com/en/matches/1b80670f/FC-Tulsa-Pittsburgh-Riverhounds-May-11-2024-USL-Championship
124,2024-05-11,San Antonio,LV Lights FC,"7,218",https://fbref.com/en/matches/a14bbbb9/San-Antonio-FC-Las-Vegas-Lights-FC-May-11-2024-USL-Championship
125,Date,Home,Away,Attendance,
126,,,,,
