Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,,
Regular Season,13,Sat,6/1/2024,19:00 (22:00),Orange County,,Detroit City,,Orange Country Great Park Championship S...,Nabil Bensalah,Match Report,,,
Regular Season,13,Sat,6/1/2024,19:00 (21:00),CS Switchbacks,,Roots,,Weidner Field,Joe Surgan,Match Report,,,
Regular Season,13,Sat,6/1/2024,19:30 (22:30),LV Lights FC,,Phx Rising,,Cashman Field,Muhammad Hassan,Match Report,,,
Regular Season,13,Sat,6/1/2024,20:00 (21:00),El Paso,,B'ham Legion,,Southwest University Park,John Matto,Match Report,,,
Regular Season,13,Sat,6/1/2024,20:00 (21:00),San Antonio,,Memphis,,Toyota Field,Ricardo Montero,Match Report,,,
,,,,,,,,,,,,,,
Regular Season,,Wed,6/5/2024,20:00 (21:00),San Antonio,,El Paso,,Toyota Field,Ricardo Fierro,Match Report,,,
Round,Wk,Day,Date,Time,Home,,Away,,Venue,Referee,Match Report,,,Notes
Regular Season,14,Sat,6/8/2024,19:30,Charleston,,Pittsburgh,,Patriots Point Soccer Complex,Thomas Snyder,Match Report,,,
Regular Season,14,Sat,6/8/2024,19:30,Rhode Island FC,,Detroit City,,Beirne Stadium,Elton Garcia,Match Report,,,
Regular Season,14,Sun,6/9/2024,18:00 (19:00),B'ham Legion,,Indy Eleven,,Protective Stadium,Natalie Simon,Match Report,,,
Regular Season,14,Sat,6/8/2024,19:00 (22:00),Roots,,TB Rowdies,,Pioneer Stadium,Elijio Arreguin,Match Report,,,
Regular Season,14,Sat,6/8/2024,19:00 (21:00),New Mexico Utd,,Hartford,,Isotopes Park,Calin Radosav,Match Report,,,
Regular Season,14,Sat,6/8/2024,19:00 (22:00),Monterey Bay,,Sac Republic,,Cardinale Stadium,Matthew Thompson,Match Report,,,
Regular Season,14,Sat,6/8/2024,19:30 (20:30),Memphis,,CS Switchbacks,,AutoZone Park,Eric Tattersall,Match Report,,,
Regular Season,14,Sat,6/8/2024,19:30 (20:30),FC Tulsa,,San Antonio,,ONEOK Field,Brandon Stevis,Match Report,,,
Regular Season,14,Sat,6/8/2024,19:30 (22:30),LV Lights FC,,Miami FC,,Cashman Field,Lorenzo Hernandez,Match Report,,,
Regular Season,14,Sat,6/8/2024,20:00,Louisville City,,North Carolina,,Lynn Family Stadium,Abdou Ndiaye,Match Report,,,
,,,,,,,,,,,,,,
Regular Season,16,Sat,6/8/2024,20:00 (23:00),Phx Rising,,Orange County,,Wild Horse Pass Stadium,,Match Report,,,
,,,,,,,,,,,,,,
Regular Season,,Wed,6/12/2024,19:00 (20:00),Memphis,,Rhode Island FC,,AutoZone Park,Mathew Corrigan,Match Report,,,
Regular Season,15,Fri,6/14/2024,19:00,Loudoun Utd,,LV Lights FC,,Segra Field,Nabil Bensalah,Match Report,,,
Regular Season,15,Sat,6/15/2024,16:00,Detroit City,,Charleston,,Keyworth Stadium,Brandon Stevis,Match Report,,,
Regular Season,15,Sat,6/15/2024,19:00,Indy Eleven,,San Antonio,,Michael A. Carroll Stadium,Adam Kilpatrick,Match Report,,,
Regular Season,15,Sat,6/15/2024,19:00,Hartford,,Pittsburgh,,Trinity Health Stadium,Joshua Encarnacion,Match Report,,,
Regular Season,15,Sat,6/15/2024,19:30,TB Rowdies,,Louisville City,,Al Lang Stadium,Ricardo Fierro,Match Report,,,
Regular Season,15,Sun,6/16/2024,18:00,North Carolina,,Monterey Bay,,Sahlen's Stadium at WakeMed Soccer Park,Esad Omanovic,Match Report,,,
Round,Wk,Day,Date,Time,Home,,Away,,Venue,Referee,Match Report,,,Notes
Regular Season,15,Sat,6/15/2024,19:00 (21:00),CS Switchbacks,,Orange County,,Weidner Field,Brad Jensen,Match Report,,,
Regular Season,15,Sat,6/15/2024,19:30 (20:30),Memphis,,New Mexico Utd,,AutoZone Park,Elton Garcia,Match Report,,,
Regular Season,15,Sat,6/15/2024,20:00 (21:00),El Paso,,Phx Rising,,Southwest University Park,Elijio Arreguin,Match Report,,,
Regular Season,15,Sat,6/15/2024,20:00 (23:00),Sac Republic,,Roots,,Heart Health Park,Sergii Demianchuk,Match Report,,,
,,,,,,,,,,,,,,
Regular Season,,Tue,6/18/2024,19:30 (22:30),LV Lights FC,,CS Switchbacks,,Cashman Field,Elijio Arreguin,Match Report,,,
Regular Season,,Wed,6/19/2024,19:30,Pittsburgh,,Louisville City,,Highmark Stadium,Matthew Thompson,Match Report,,,
Regular Season,,Wed,6/19/2024,19:00 (20:00),B'ham Legion,,San Antonio,,Protective Stadium,Elvis Osmanovic,Match Report,,,
Regular Season,,Wed,6/19/2024,19:00 (22:00),Roots,,El Paso,,Pioneer Stadium,Trevor Wiseman,Match Report,,,
Regular Season,,Wed,6/19/2024,19:30 (20:30),FC Tulsa,,Miami FC,,ONEOK Field,Christopher Calderón,Match Report,,,
Regular Season,16,Fri,6/21/2024,19:30,Hartford,,TB Rowdies,,Trinity Health Stadium,Greg Dopka,Match Report,,,
Regular Season,16,Sat,6/22/2024,15:00 (18:00),Monterey Bay,,Roots,,Cardinale Stadium,Ricardo Montero,Match Report,,,
Regular Season,16,Sat,6/22/2024,19:00,Indy Eleven,,Orange County,,Michael A. Carroll Stadium,Joe Surgan,Match Report,,,
Regular Season,16,Sat,6/22/2024,19:00,Miami FC,,Loudoun Utd,,South Dade Kia Field at Pitbull Stadium,Eric Tattersall,Match Report,,,
Regular Season,16,Sat,6/22/2024,19:30,North Carolina,,Pittsburgh,,Sahlen's Stadium at WakeMed Soccer Park,Muhammad Hassan,Match Report,,,
Regular Season,16,Sat,6/22/2024,19:00 (21:00),New Mexico Utd,,CS Switchbacks,,Isotopes Park,Corbyn May,Match Report,,,
Regular Season,16,Sat,6/22/2024,19:30 (20:30),FC Tulsa,,Sac Republic,,ONEOK Field,John Matto,Match Report,,,
Regular Season,16,Sat,6/22/2024,19:30 (22:30),LV Lights FC,,Memphis,,Cashman Field,Trevor Wiseman,Match Report,,,
Regular Season,16,Sat,6/22/2024,19:30 (22:30),Phx Rising,,Charleston,,Wild Horse Pass Stadium,Abdou Ndiaye,Match Report,,,
Regular Season,16,Sat,6/22/2024,20:00,Louisville City,,Rhode Island FC,,Lynn Family Stadium,Kyle Johnston,Match Report,,,
Round,Wk,Day,Date,Time,Home,,Away,,Venue,Referee,Match Report,,,Notes
,,,,,,,,,,,,,,
Regular Season,17,Wed,6/26/2024,19:00,Detroit City,,B'ham Legion,,Keyworth Stadium,Abdou Ndiaye,Match Report,,,
Regular Season,17,Wed,6/26/2024,19:30,Rhode Island FC,,El Paso,,Beirne Stadium,Nabil Bensalah,Match Report,,,
Regular Season,17,Fri,6/28/2024,19:30,Charleston,,North Carolina,,Patriots Point Soccer Complex,Gerald Flores,Match Report,,,
Regular Season,17,Sat,6/29/2024,18:30 (19:30),B'ham Legion,,Louisville City,,Protective Stadium,Joshua Encarnacion,Match Report,,,
Regular Season,17,Sat,6/29/2024,19:00,Miami FC,,Detroit City,,South Dade Kia Field at Pitbull Stadium,Alyssa Nichols,Match Report,,,
Regular Season,17,Fri,6/28/2024,19:30 (20:30),Memphis,,Phx Rising,,AutoZone Park,Jeremy Scheer,Match Report,,,
Regular Season,17,Sat,6/29/2024,19:30,Loudoun Utd,,TB Rowdies,,Segra Field,Luis Arroyo,Match Report,,,
Regular Season,17,Sat,6/29/2024,19:00 (22:00),Orange County,,Roots,,Orange Country Great Park Championship S...,Elton Garcia,Match Report,,,
Regular Season,17,Sat,6/29/2024,19:00 (21:00),CS Switchbacks,,Monterey Bay,,Weidner Field,Lorenzo Hernandez,Match Report,,,
Regular Season,17,Sat,6/29/2024,19:30 (22:30),LV Lights FC,,Pittsburgh,,Cashman Field,John Griggs,Match Report,,,
