Player_ID,Player_Name,First_Name,Last_Name,Nationality,Position,Is_Offense,Is_Defense,Born
114,Hayden Sargis,Hayden,Sargis,USA,DF,FALSE,TRUE,2002
115,Jordan Scarlett,Jordan,Scarlett,JAM,DF,FALSE,TRUE,1995
116,Patrick Seagrist,Patrick,Seagrist,USA,DF,FALSE,TRUE,1998
117,Mark Segbers,Mark,Segbers,USA,DF,FALSE,TRUE,1996
118,Will Seymore,Will,Seymore,USA,DF,FALSE,TRUE,1992
119,Matthew Sheldon,Matthew,Sheldon,USA,DF,FALSE,TRUE,1992
120,Collin Smith,Collin,Smith,USA,DF,FALSE,TRUE,2003
121,Graham Smith,Graham,Smith,USA,DF,FALSE,TRUE,1995
122,Alexis Souahy,Alexis,Souahy,COM,DF,FALSE,TRUE,1995
123,Hayden Stamps,Hayden,Stamps,,DF,FALSE,TRUE,
124,Grant Stoneman,Grant,Stoneman,USA,DF,FALSE,TRUE,1995
125,Sean Suber,Sean,Suber,USA,DF,FALSE,TRUE,2001
126,Mitchell Taintor,Mitchell,Taintor,USA,DF,FALSE,TRUE,1994
127,Rashid Tetteh,Rashid,Tetteh,GHA,DF,FALSE,TRUE,1995
128,Jared Timmer,Jared,Timmer,USA,DF,FALSE,TRUE,1997
129,Griffin Tomas,Griffin,Tomas,,DF,FALSE,TRUE,
130,Sean Totsch,Sean,Totsch,USA,DF,FALSE,TRUE,1991
131,Lucas Turci,Lucas,Turci,BRA,DF,FALSE,TRUE,1996
132,Kofi Twumasi,Kofi,Twumasi,USA,DF,FALSE,TRUE,1996
133,Chibuike Ukaegbu,Chibuike,Ukaegbu,USA,DF,FALSE,TRUE,2007
134,Raul Vazquez,Raul,Vazquez,USA,DF,FALSE,TRUE,2005
135,Carson Vom Steeg,Carson,Vom Steeg,USA,DF,FALSE,TRUE,1999
136,Akeem Ward,Akeem,Ward,USA,DF,FALSE,TRUE,1996
137,Bryce Washington,Bryce,Washington,USA,DF,FALSE,TRUE,1998
138,Hayden White,Hayden,White,ENG,DF,FALSE,TRUE,1995
139,Shane Wiedt,Shane,Wiedt,USA,DF,FALSE,TRUE,1995
140,Richard Windbichler,Richard,Windbichler,AUT,DF,FALSE,TRUE,1991
141,Laurence Wyke,Laurence,Wyke,ENG,DF,FALSE,TRUE,1996
142,Abdel Yacoubou,Abdel,Yacoubou,TOG,DF,FALSE,TRUE,1997
143,Karifa Yao,Karifa,Yao,CAN,DF,FALSE,TRUE,2000
144,Yuma,#VALUE!,#VALUE!,ESP,DF,FALSE,TRUE,1985
145,Nick DePuy,Nick,DePuy,USA,"DF,FW",TRUE,TRUE,1994
146,Langston Blackstock,Langston,Blackstock,,"DF,MF",TRUE,TRUE,
147,Trova Boni,Trova,Boni,BFA,"DF,MF",TRUE,TRUE,1999
148,Rece Buckmaster,Rece,Buckmaster,USA,"DF,MF",TRUE,TRUE,1996
149,Emil Cuello,Emil,Cuello,USA,"DF,MF",TRUE,TRUE,1997
150,Owen Damm,Owen,Damm,USA,"DF,MF",TRUE,TRUE,2003
151,Guillermo Diaz,Guillermo,Diaz,USA,"DF,MF",TRUE,TRUE,1995
152,Derek Dodson,Derek,Dodson,USA,"DF,MF",TRUE,TRUE,1998
153,Ryan Doghman,Ryan,Doghman,NOR,"DF,MF",TRUE,TRUE,1997
154,Morey Doner,Morey,Doner,CAN,"DF,MF",TRUE,TRUE,1994
155,Junior Etou,Junior,Etou,CGO,"DF,MF",TRUE,TRUE,1994
156,Omar Grey,Omar,Grey,USA,"DF,MF",TRUE,TRUE,2000
157,Jack Gurr,Jack,Gurr,ENG,"DF,MF",TRUE,TRUE,1995
158,Neveal Hackshaw,Neveal,Hackshaw,TRI,"DF,MF",TRUE,TRUE,1995
159,Ramiz Hamouda,Ramiz,Hamouda,USA,"DF,MF",TRUE,TRUE,2008
160,Nick Hinds,Nick,Hinds,USA,"DF,MF",TRUE,TRUE,1997
161,Macauley King,Macauley,King,ENG,"DF,MF",TRUE,TRUE,1995
162,Miles Lyons,Miles,Lyons,USA,"DF,MF",TRUE,TRUE,2002
163,Alejandro Mitrano,Alejandro,Mitrano,VEN,"DF,MF",TRUE,TRUE,1998
164,Eddie Munjoma,Eddie,Munjoma,USA,"DF,MF",TRUE,TRUE,1998
165,Mujeeb Murana,Mujeeb,Murana,USA,"DF,MF",TRUE,TRUE,2000
166,Junior Palacios,Junior,Palacios,COL,"DF,MF",TRUE,TRUE,1996
167,Dillon Powers,Dillon,Powers,USA,"DF,MF",TRUE,TRUE,1991
168,Justin Rasmussen,Justin,Rasmussen,USA,"DF,MF",TRUE,TRUE,1998
